rule	source	line	shadowed_by	shadow_source
DOMAIN-SUFFIX,www.hustlercash.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	110	DOMAIN-SUFFIX,hustlercash.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,cdn.futustatic.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	567	DOMAIN-SUFFIX,futustatic.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,api.lbkrs.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	574	DOMAIN-SUFFIX,lbkrs.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,api-gl.lbkrs.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	575	DOMAIN-SUFFIX,lbkrs.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,quote.longbridge.global	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	581	DOMAIN-SUFFIX,longbridge.global	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,trade.longportapp.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	582	DOMAIN-SUFFIX,longportapp.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,openapi.longbridge.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	583	DOMAIN-SUFFIX,longbridge.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,openapi-quote.longbridge.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	584	DOMAIN-SUFFIX,longbridge.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,openapi-trade.longbridge.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	585	DOMAIN-SUFFIX,longbridge.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,qtcard.futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	590	DOMAIN-SUFFIX,futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,qtcardfthk.futufin.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	591	DOMAIN-SUFFIX,futufin.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,openapi.futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	592	DOMAIN-SUFFIX,futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,api.futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	593	DOMAIN-SUFFIX,futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,api5.futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	594	DOMAIN-SUFFIX,futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,trade.futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	595	DOMAIN-SUFFIX,futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,support.futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	596	DOMAIN-SUFFIX,futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,download.futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	597	DOMAIN-SUFFIX,futunn.com	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
DOMAIN-SUFFIX,pki.goog	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt	979	DOMAIN-SUFFIX,goog	https://raw.githubusercontent.com/gfwlist/gfwlist/master/list.txt
